package2,strength,count
os,1.0,1005020
sys,1.0,784379
django,1.0,618941
__future__,1.0,445335
os,0.5014297935054355,393311
time,1.0,359073
re,1.0,349309
logging,1.0,338447
datetime,1.0,311685
numpy,1.0,298698
unittest,1.0,241692
json,1.0,241385
os,0.4487860318514553,156765
os,0.4353432310421558,156320
random,1.0,142625
collections,1.0,140847
subprocess,1.0,138888
logging,0.3973384311280644,134478
sys,0.3715010596731027,133396
re,0.3503345175761289,122375
math,1.0,119515
os,0.769411324232475,106862
urllib,1.0,97426
shutil,1.0,95924
argparse,1.0,92188
json,0.3793939142863061,91580
os,0.9322275968475042,89423
threading,1.0,89172
copy,1.0,85307
tempfile,1.0,83771
socket,1.0,81162
matplotlib,1.0,80931
itertools,1.0,80771
setuptools,1.0,80758
flask,1.0,75326
subprocess,0.541040262657681,75144
mock,1.0,74613
six,1.0,73351
traceback,1.0,72306
os,0.8588533024555037,71947
requests,1.0,68705
functools,1.0,68628
scipy,1.0,67199
string,1.0,66568
matplotlib,0.7834575131902485,63406
hashlib,1.0,61282
warnings,1.0,60376
numpy,0.8787184333100195,59049
optparse,1.0,58442
sqlalchemy,1.0,57583
glob,1.0,53753
argparse,0.5759860285503536,53099
uuid,1.0,52443
xml,1.0,51654
distutils,1.0,51165
urllib2,1.0,50651
argparse,0.5398316483707207,49766
PyQt4,1.0,48233
nose,1.0,47208
base64,1.0,46945
struct,1.0,46805
urlparse,1.0,46296
shutil,0.47913973562403567,45961
threading,0.5075584264118782,45260
pytest,1.0,45072
glob,0.8372369914237345,45004
south,1.0,43962
operator,1.0,43005
django,0.9716345935125791,42715
sys,0.5815976544131884,42053
utils,1.0,41658
StringIO,1.0,41310
twisted,1.0,41015
os,0.4115431199063905,40095
io,1.0,39998
os,0.5530799657013249,39991
os,0.44554344413044455,39730
openerp,1.0,39667
optparse,0.6675849560247767,39015
csv,1.0,38569
inspect,1.0,38043
os,0.4637391882900865,37638
socket,0.45205884527241813,36690
types,1.0,36586
sys,0.40027138563674697,35693
pprint,1.0,35597
sys,0.4238698356233064,35508
optparse,0.5994832483487903,35035
os,0.42726417197057875,34505
pandas,1.0,33846
pickle,1.0,33728
socket,0.4078632857741307,33103
shutil,0.39390719938880997,32998
contextlib,1.0,32351
codecs,1.0,32245
hashlib,0.5080610946117946,31135
errno,1.0,31065
tests,1.0,30901
config,1.0,30874
os,0.4465959620237952,29729
lxml,1.0,29559
copy,0.34529405558746645,29456
nova,1.0,28759
datetime,0.6451025885992449,28360
google,1.0,28301
signal,1.0,27988
util,1.0,27866
cStringIO,1.0,27746
ConfigParser,1.0,27574
multiprocessing,1.0,27283
glob,0.5049020519784942,27140
string,0.40602091094820336,27028
platform,1.0,26311
json,0.3817917182155593,26231
ctypes,1.0,26178
errno,0.8155802349911476,25336
time,0.3471911044726579,25104
distutils,0.4762044366266002,24365
models,1.0,24309
decimal,1.0,23848
yaml,1.0,23274
os,0.3836126937856102,23161
rest_framework,1.0,23050
cPickle,1.0,22902
simplejson,1.0,22830
os,0.43911410539358037,22682
sys,0.3709089704518352,22394
common,1.0,22352
sklearn,1.0,22311
os,0.43410791494738504,21988
oslo_config,1.0,21841
numpy,0.6444779294451338,21813
PIL,1.0,21248
test,1.0,21150
os,0.7514649135343718,21032
lib,1.0,20951
os,0.4508812856402281,20874
oslo,1.0,20838
io,0.5208010400520026,20831
abc,1.0,20594
codecs,0.6279113040781517,20247
core,1.0,20229
base64,0.42939610182128024,20158
StringIO,0.48177196804647787,19902
dateutil,1.0,19837
ConfigParser,0.712120113150069,19636
zope,1.0,19628
os,0.7442134468473263,19581
sys,0.38625101182602517,19564
signal,0.698906674288981,19561
gtk,1.0,19522
pygame,1.0,19360
gi,1.0,19305
pylab,1.0,19243
struct,0.40910159171028737,19148
distutils,0.3697449428320141,18918
textwrap,1.0,18916
sqlite3,1.0,18886
oslo_log,1.0,18543
sys,0.3545127192472993,18312
urllib,0.3612959270300685,18300
numpy,0.8180269822060867,18251
wx,1.0,18071
io,0.4494724736236812,17978
tornado,1.0,17798
os,0.3389966249070419,17778
zipfile,1.0,17749
urllib,0.3820848453430102,17689
app,1.0,17650
pkg_resources,1.0,17573
stat,1.0,17430
httplib,1.0,17417
errno,0.5585063576372123,17350
pytz,1.0,17339
StringIO,0.4168966351972888,17222
getopt,1.0,17167
inspect,0.45027994637646873,17130
imp,1.0,16961
csv,0.4374756929139983,16873
contextlib,0.5168619208061574,16721
os,0.3503044546522807,16396
sys,0.4478489039523315,16385
Queue,1.0,16249
os,0.4815879981024668,16243
bs4,1.0,16218
inspect,0.4257813526798623,16198
os,0.9289730349971314,16192
gettext,1.0,15962
neutron,1.0,15885
webob,1.0,15865
swgpy,1.0,15772
getpass,1.0,15700
binascii,1.0,15634
werkzeug,1.0,15629
cgi,1.0,15350
platform,0.5831781384211927,15344
multiprocessing,0.5545944360957372,15131
getopt,0.876623754878546,15049
signal,0.5357653279977133,14995
pprint,0.42115908643986855,14992
shlex,1.0,14830
doctest,1.0,14803
codecs,0.45824158784307645,14776
os,0.83199053467801,14767
os,0.6340981352582281,14758
settings,1.0,14696
importlib,1.0,14563
gzip,1.0,14562
django,0.6315835140997831,14558
oslo_utils,1.0,14553
datetime,0.8389180460234155,14546
jinja2,1.0,14523
os,0.4034047813017951,14360
pymongo,1.0,14314
os,0.3431273704930626,14294
os,0.3889465915924124,14230
datetime,0.7156828149417754,14197
ConfigParser,0.5099368970769566,14061
sympy,1.0,14037
email,1.0,14000
csv,0.3570484067515362,13771
cStringIO,0.49351257838967777,13693
test,0.6466666666666666,13677
pickle,0.397592504743833,13410
numpy,0.6920958270539936,13318
locale,1.0,13204
fnmatch,1.0,13152
multiprocessing,0.47300516805336656,12905
imp,0.7514297506043276,12745
boto,1.0,12608
cPickle,0.5458911885424854,12502
invenio,1.0,12182
config,0.3933730647146466,12145
PyQt5,1.0,12142
unittest2,1.0,12118
errno,0.38699501046193463,12022
os,0.8024949426837491,11901
pdb,1.0,11863
weakref,1.0,11699
cStringIO,0.4182584877099402,11605
select,1.0,11455
imp,0.6713047579741761,11386
PIL,0.5339796686746988,11346
json,0.49667104686815594,11339
base,1.0,11283
alembic,1.0,11255
multiprocessing,0.41076861049004876,11207
cv2,1.0,11186
eventlet,1.0,11180
ast,1.0,11116
fnmatch,0.8342457420924574,10972
gobject,1.0,10826
xmodule,1.0,10746
contextlib,0.33170535686686653,10731
django,0.4402896046731663,10703
getopt,0.6189200209704666,10625
getpass,0.6699363057324841,10518
zlib,1.0,10339
datetime,0.42993123113049314,10253
PySide,1.0,10244
alembic,0.9050199911150599,10186
Tkinter,1.0,10141
Queue,0.6204074096867499,10081
ansible,1.0,10060
os,0.5291287798688941,10009
calendar,1.0,9992
oslo_config,0.5283395351345521,9797
celery,1.0,9778
os,0.5551129573777955,9755
pyramid,1.0,9750
theano,1.0,9699
array,1.0,9681
ctypes,0.36775154710061886,9627
stat,0.5506597819850831,9598
gzip,0.657945337178959,9581
ctypes,0.36591794636717856,9579
getpass,0.6089171974522293,9560
shlex,0.6376264329062711,9456
cPickle,0.4127150467208104,9452
testtools,1.0,9371
selenium,1.0,9330
psycopg2,1.0,9328
cinder,1.0,9178
asyncio,1.0,9174
model,1.0,9152
fabric,1.0,9099
os,0.4761728264322779,8993
mimetypes,1.0,8988
MySQLdb,1.0,8979
builtins,1.0,8942
gevent,1.0,8892
sys,0.4687037428631846,8866
tempest,1.0,8862
networkx,1.0,8852
gc,1.0,8851
os,0.3868593955321945,8832
constants,1.0,8791
commands,1.0,8737
Queue,0.5372022893716536,8729
gettext,0.5439168024057136,8682
atexit,1.0,8653
sys,0.40245862884160755,8512
IPython,1.0,8494
tarfile,1.0,8480
decimal,0.354159677960416,8446
fcntl,1.0,8428
cv2,0.7530842124083676,8424
serial,1.0,8413
os,0.3967848699763593,8392
horizon,1.0,8264
sys,0.35451576866890094,8251
configparser,1.0,8196
jinja2,0.5603525442401708,8138
ssl,1.0,8103
telemetry,1.0,8063
flask,0.5127007486083562,8013
sys,0.45134937179559415,8011
scrapy,1.0,7995
nltk,1.0,7988
bson,1.0,7987
Components,1.0,7968
numpy,0.8210124755129394,7963
gtk,0.40779633234299767,7961
OpenGL,1.0,7959
thread,1.0,7957
tools,1.0,7892
unicodedata,1.0,7891
locale,0.5945925477128143,7851
redis,1.0,7819
api,1.0,7804
qgis,1.0,7775
pkg_resources,0.44238320150230465,7774
oslo_config,0.5332921047206761,7761
common,0.3428328561202577,7663
os,0.902004716981132,7649
smtplib,1.0,7639
frappe,1.0,7630
openstack_dashboard,1.0,7625
nova,0.3646223245992898,7598
django,0.9159002904162633,7569
oslo_config,0.34416922302092395,7517
apps,1.0,7502
Queue,0.46002830943442674,7475
django,0.6944909733854457,7463
importlib,0.5101970747785484,7430
netaddr,1.0,7392
wtforms,1.0,7385
gi,0.3781921781921782,7301
Queue,0.44624284571358236,7251
webbrowser,1.0,7189
src,1.0,7115
click,1.0,7084
xmlrpclib,1.0,7076
fcntl,0.8381585192216422,7064
resources,1.0,7053
pwd,1.0,7050
oslo_log,0.482718339861197,7025
gzip,0.4818706221672847,7017
rospy,1.0,6999
oslo_log,0.37577522515234857,6968
hmac,1.0,6941
matplotlib,0.36002702281349064,6928
__future__,0.9078636959370905,6927
oslo_utils,0.47543461829176115,6919
__builtin__,1.0,6891
locale,0.5215086337473492,6886
cgi,0.44521172638436485,6834
mimetypes,0.7576769025367156,6810
http,1.0,6808
select,0.5927542557835006,6790
xbmc,1.0,6780
calendar,0.6759407526020816,6754
enigma,1.0,6725
app,0.3794900849858357,6698
os,0.5846355303360977,6697
tkinter,1.0,6602
fnmatch,0.5015967153284672,6597
Image,1.0,6575
webapp2,1.0,6568
bs4,0.40430385990874335,6557
django,0.8596721311475409,6555
module,1.0,6553
SCons,1.0,6552
gobject,0.6004064289673009,6500
cms,1.0,6455
dbus,1.0,6451
shlex,0.4345246122724208,6444
httplib,0.3699259344318769,6443
email,0.4552857142857143,6374
student,1.0,6349
os,0.8991489361702127,6339
autotest,1.0,6334
cherrypy,1.0,6310
django,0.36345810023646113,6302
shutil,0.35444250380303116,6291
stat,0.3604704532415376,6283
nova,0.3945792625275764,6260
httplib,0.3590744674743067,6254
re,0.35731497418244407,6228
tensorflow,1.0,6219
astropy,1.0,6209
Bio,1.0,6200
select,0.5410737669140113,6198
binascii,0.3956760905718306,6186
atexit,0.7057667860857506,6107
java,1.0,6107
Tools,1.0,6079
oslo_serialization,1.0,6065
mpl_toolkits,1.0,6062
Crypto,1.0,6049
posixpath,1.0,6044
select,0.5271060672195548,6038
bpy,1.0,6036
docutils,1.0,6032
helpers,1.0,6013
django,0.9376279729091196,5953
os,0.33413866726598496,5947
queue,1.0,5924
enum,1.0,5866
cms,0.9078233927188226,5860
unittest,0.48324806073609505,5856
configparser,0.714006832601269,5852
Components,0.8679553903345725,5837
importlib,0.3965529080546591,5775
commands,0.6605242073938423,5771
difflib,1.0,5756
hashlib,0.8292753205589972,5756
pants,1.0,5679
kivy,1.0,5678
md5,1.0,5663
exceptions,1.0,5625
binascii,0.3596008698989382,5622
os,0.3586921748032504,5606
PyQt4,0.7188424437299036,5589
__future__,0.9809825673534073,5571
pyglet,1.0,5568
matplotlib,0.91768393269548,5563
sickbeard,1.0,5561
apps,0.7406025059984004,5556
fnmatch,0.4182633819951338,5501
pygments,1.0,5434
bs4,0.3345665310149217,5426
sets,1.0,5384
httplib2,1.0,5366
cgi,0.34957654723127035,5366
processing,1.0,5360
atexit,0.6182826765283717,5350
zmq,1.0,5317
gc,0.6003841373856061,5314
doctest,0.35702222522461663,5285
os,0.5070122835864204,5242
main,1.0,5222
h5py,1.0,5220
RPi,1.0,5216
mpl_toolkits,0.8581326294952161,5202
os,0.35370168753402287,5198
traits,1.0,5197
opaque_keys,1.0,5181
pdb,0.4321841018292169,5127
future,1.0,5065
bisect,1.0,5060
Screens,1.0,5033
Components,0.827109721993749,5028
timeit,1.0,4990
bottle,1.0,4988
corehq,1.0,4974
BeautifulSoup,1.0,4963
fcntl,0.5866160417655434,4944
ast,0.4445843828715365,4942
psutil,1.0,4933
horizon,0.6460327868852459,4926
os,0.4149034814127961,4922
pygtk,1.0,4915
sublime,1.0,4913
astropy,0.7901433403124497,4906
HTMLParser,1.0,4899
Components,0.9729783429366183,4897
email,0.3495714285714286,4894
Products,1.0,4892
gluon,1.0,4869
serial,0.5783905859978604,4866
__future__,0.5413777678371728,4841
direct,1.0,4825
abjad,1.0,4816
email,0.6270454247938212,4790
keystone,1.0,4787
numbers,1.0,4746
email,0.3359285714285714,4703
BaseHTTPServer,1.0,4693
email,0.334,4676
calibre,1.0,4672
socket,0.5763297544119462,4670
mox,1.0,4656
__future__,0.7473870397169963,4648
gc,0.5250254208564004,4647
sys,0.39678605008975126,4642
web,1.0,4621
gtk,0.9338758901322483,4590
Tools,0.7542358940615232,4585
eventlet,0.4098389982110912,4582
SocketServer,1.0,4575
json,0.4238786525218686,4555
gobject,0.41917605763901716,4538
student,0.7139707040478815,4533
os,0.6262345249687021,4502
heat,1.0,4497
views,1.0,4487
vtk,1.0,4477
ansible,0.44254473161033797,4452
boto,0.35176078680203043,4435
framework,1.0,4431
OpenGL,0.5561000125643926,4426
re,0.558864529210493,4410
commands,0.5042920911067872,4406
sys,0.426153399748525,4406
gnuradio,1.0,4394
data,1.0,4394
thread,0.552218172678145,4394
pylons,1.0,4389
calendar,0.43825060048038433,4379
sphinx,1.0,4374
eventlet,0.39105545617173526,4372
keystoneclient,1.0,4320
os,0.713103904698875,4310
h5py,0.8239463601532567,4301
website,1.0,4297
fixtures,1.0,4268
xbmcgui,1.0,4248
builtins,0.47483784388280026,4246
mongoengine,1.0,4240
sentry,1.0,4233
weboob,1.0,4222
array,0.4354922012188823,4216
ast,0.3788233177401943,4211
forms,1.0,4199
os,0.5169690238183389,4189
celery,0.4281039067293925,4186
markdown,1.0,4185
h2o,1.0,4147
reportlab,1.0,4143
sys,0.4873820754716981,4133
pkgutil,1.0,4101
db,1.0,4100
heapq,1.0,4093
courseware,1.0,4092
utilities,1.0,4088
shutil,0.48125,4081
fileinput,1.0,4072
pwd,0.5763120567375887,4063
django,0.7838255163095927,4061
RPi,0.776648773006135,4051
os,0.34515770578681937,4038
curses,1.0,4036
configparser,0.4921913128355295,4034
select,0.3521606285464863,4034
fabric,0.4431256181998022,4032
opaque_keys,0.7747539085118703,4014
google,0.610231425091352,4008
java,0.6549860815457672,4000
paramiko,1.0,3997
ddt,1.0,3987
sys,0.49981148674123416,3977
docopt,1.0,3963
__builtin__,0.5724858511101437,3945
grr,1.0,3942
path,1.0,3941
modules,1.0,3939
Screens,0.7824359229088019,3938
autotest,0.6212503946952952,3935
__main__,1.0,3932
wsgiref,1.0,3916
courseware,0.9560117302052786,3912
twitter,1.0,3912
IPython,0.4603249352484106,3910
logging,0.36311185557416714,3902
cookielib,1.0,3856
flask,0.5220040622884224,3855
eventlet,0.34427549194991053,3849
ssl,0.47130692336171787,3819
Components,0.47740963855421686,3804
__future__,0.7504442250740375,3801
services,1.0,3787
fcntl,0.4453013763644993,3753
tastypie,1.0,3749
com,1.0,3749
oauth2client,1.0,3739
corehq,0.7426618415761962,3694
mock,0.3924874613168285,3678
paste,1.0,3650
builtins,0.40662044285394766,3636
cProfile,1.0,3591
os,0.46006430868167203,3577
homeassistant,1.0,3563
osgeo,1.0,3557
xbmcaddon,1.0,3557
Cython,1.0,3540
DIRAC,1.0,3538
osv,1.0,3531
Screens,0.7007748857540235,3527
sys,0.490471553762693,3526
swift,1.0,3519
os,0.4422521050647229,3519
sphinx_rtd_theme,1.0,3513
__future__,0.3590713847412559,3511
database,1.0,3511
os,0.5171091445427729,3506
virttest,1.0,3505
atexit,0.40448399399052354,3500
wagtail,1.0,3498
calendar,0.3497798238590873,3495
array,0.3600867678958785,3486
mkt,1.0,3484
__builtin__,0.5051516470758961,3481
MySQLdb,0.3859004343468092,3465
SCons,0.5279304029304029,3459
gui,1.0,3458
time,0.3325273237256988,3438
log,1.0,3426
bson,0.42882183548265934,3425
xblock,1.0,3422
md5,0.600388486667844,3400
autotest,0.5355225765708873,3392
transaction,1.0,3389
helper,1.0,3387
http,0.49676850763807284,3382
os,0.4280826257762007,3378
enigma,0.5015613382899629,3373
googleads,1.0,3367
temboo,1.0,3364
pandac,1.0,3363
Tools,0.552886987991446,3361
ConfigParser,0.40922401171303074,3354
haystack,1.0,3349
__future__,0.7909284195605953,3348
hmac,0.4822071747586803,3347
IPython,0.3936896632917353,3344
OpenSSL,1.0,3337
readline,1.0,3330
users,1.0,3329
module,0.506638180985808,3320
win32api,1.0,3315
pip,1.0,3314
ase,1.0,3298
os,0.6683559699979729,3297
django,0.9396798170383076,3287
sys,0.41655050057026993,3287
queue,0.5535111411208643,3279
resources,0.4627817949808592,3264
mako,1.0,3260
novaclient,1.0,3251
html,1.0,3238
skimage,1.0,3227
py,1.0,3226
oslo_messaging,1.0,3222
hashlib,0.5678968744481724,3216
rdflib,1.0,3214
server,1.0,3209
serial,0.3809580411268275,3205
mimetypes,0.3563640409434802,3203
Image,0.487148288973384,3203
mimetypes,0.35580774365821094,3198
os,0.4179866474669459,3193
migrate,1.0,3191
courseware,0.7788367546432062,3187
logger,1.0,3179
robot,1.0,3175
ceilometer,1.0,3169
oscar,1.0,3159
selenium,0.3367631296891747,3142
openedx,1.0,3130
os,0.5508011973939074,3128
sphinx_rtd_theme,0.8895530885283234,3125
factory,1.0,3113
bokeh,1.0,3108
webkitpy,1.0,3094
base64,0.44460452384382654,3086
horizon,0.3728218780251694,3081
babel,1.0,3080
oslo_serialization,0.5070074196207749,3075
Plugins,1.0,3074
indico,1.0,3074
difflib,0.53318276580959,3069
bz2,1.0,3069
autotest,0.8738944365192582,3063
bson,0.38312257418304746,3060
sys,0.44778761061946903,3036
__future__,0.6496147260273972,3035
cherrypy,0.48050713153724245,3032
amo,1.0,3032
tables,1.0,3032
translate,1.0,3025
ssl,0.3707268912748365,3004
xbmc,0.705743879472693,2998
json,0.4714128209166798,2993
MySQLdb,0.33266510747299255,2987
gevent,0.33580746738641476,2986
gevent,0.3347953216374269,2977
numpy,0.4780511336227689,2973
iris,1.0,2971
resource,1.0,2964
gc,0.334312507061349,2959
oslo_concurrency,1.0,2959
roslib,1.0,2957
courseware,0.7221407624633431,2955
os,0.36599280664764977,2951
os,0.8391688015940791,2948
nupic,1.0,2947
os,0.5498134328358208,2947
click,0.41544325239977414,2943
pathlib,1.0,2943
plugins,1.0,2939
pipes,1.0,2931
statsmodels,1.0,2922
Orange,1.0,2920
shapely,1.0,2910
Bio,0.46903225806451615,2908
tarfile,0.34150943396226413,2896
pango,1.0,2881
django,0.6846868301976661,2875
webtest,1.0,2867
django,0.6387341207934032,2866
libcloud,1.0,2865
django,0.6761162296243799,2862
googlecloudsdk,1.0,2855
__init__,1.0,2853
json,0.8478002378121284,2852
misc,1.0,2832
difflib,0.49183460736622653,2831
http,0.41509988249118684,2826
autobahn,1.0,2822
numpy,0.8744964363185621,2822
code,1.0,2807
cairo,1.0,2804
h5py,0.5344827586206896,2790
neutronclient,1.0,2784
mysql,1.0,2784
os,0.39259468626342564,2778
sys,0.39245336348219334,2777
grp,1.0,2773
tweepy,1.0,2769
concurrent,1.0,2769
http,0.4055522914218566,2761
nipype,1.0,2751
xblock,0.8027469316189363,2747
sha,1.0,2746
netCDF4,1.0,2746
h2o,0.6619242826139378,2745
oslo_config,0.4522671063478978,2743
version,1.0,2736
django,0.7850172215843858,2735
feedparser,1.0,2728
opaque_keys,0.524802161744837,2719
logging,0.7731811697574893,2710
django,0.71619098426247,2685
pwd,0.3802836879432624,2681
trac,1.0,2674
ez_setup,1.0,2667
numba,1.0,2659
re,0.47761194029850745,2656
thrift,1.0,2653
ez_setup,0.9943757030371203,2652
glance,1.0,2650
pyquery,1.0,2649
fractions,1.0,2644
django,0.8366571699905033,2643
sets,0.4899702823179792,2638
kombu,1.0,2626
cookielib,0.6797199170124482,2621
win32com,1.0,2621
md5,0.4626523044322797,2620
ddt,0.654376724354151,2609
pyparsing,1.0,2609
docutils,0.4316976127320955,2604
services,0.6870874042777925,2602
mathutils,1.0,2597
IECore,1.0,2588
HTMLParser,0.5282710757297407,2588
xbmc,0.726454877705932,2584
numpy,0.8839835728952772,2583
mock,0.40667821704205387,2582
Screens,0.512219352274985,2578
gramps,1.0,2576
os,0.6061676082862524,2575
rally,1.0,2570
astropy,0.4135931712030923,2568
MaKaC,1.0,2564
Utils,1.0,2560
Bio,0.41258064516129034,2558
pulp,1.0,2556
direct,0.760035682426405,2556
UserDict,1.0,2551
Cython,0.7200564971751412,2549
std_msgs,1.0,2540
roslib,0.8589786946229286,2540
amo,0.837401055408971,2539
libs,1.0,2538
django,0.8073482428115016,2527
routes,1.0,2525
errors,1.0,2524
Queue,0.4238690074274139,2511
homeassistant,0.7027785573954533,2504
cookielib,0.6488589211618258,2502
edxmako,1.0,2497
difflib,0.4334607366226546,2495
os,0.5701874714220393,2494
plaso,1.0,2493
__main__,0.6337741607324516,2492
django,0.7482727545809552,2491
os,0.37911084043848964,2490
django,0.9959951942330797,2487
BaseHTTPServer,0.5297251225229065,2486
grp,0.8939776415434547,2479
gtk,0.8604651162790697,2479
os,0.8451040600477653,2477
PyQt4,0.4619402985074627,2476
framework,0.5759832441238073,2475
os,0.41677920324105333,2469
apiclient,1.0,2468
termios,1.0,2463
git,1.0,2461
queue,0.41542876434841325,2461
oslo_serialization,0.40560593569661996,2460
queue,0.4147535449020932,2457
elasticsearch,1.0,2456
primaires,1.0,2455
dbus,0.3802511238567664,2453
org,1.0,2450
fileinput,0.6016699410609038,2450
conf,1.0,2447
sublime_plugin,1.0,2438
ui,1.0,2431
Crypto,0.4002314432137543,2421
tempest_lib,1.0,2418
mezzanine,1.0,2410
taggit,1.0,2409
traitsui,1.0,2408
posixpath,0.3984116479152879,2408
dj_database_url,1.0,2405
BaseHTTPServer,0.5122522906456425,2404
datetime,0.43175687825930587,2401
jsonschema,1.0,2398
sahara,1.0,2394
scapy,1.0,2391
psutil,0.4836813298195824,2386
logging,0.45898475197838257,2378
processing,0.44347014925373135,2377
local_settings,1.0,2375
webnotes,1.0,2375
suds,1.0,2372
xbmcaddon,0.6665729547371381,2371
httplib2,0.4418561311964219,2371
flask_login,1.0,2371
Components,0.7706571242680547,2369
trytond,1.0,2364
ryu,1.0,2359
os,0.6629181894855215,2358
buildbot,1.0,2358
urllib,0.34749262536873154,2356
xlrd,1.0,2353
SocketServer,0.5140983606557377,2352
os,0.5713240673006583,2343
site,1.0,2343
nibabel,1.0,2340
easybuild,1.0,2339
mne,1.0,2333
ujson,1.0,2333
BeautifulSoup,0.4698770904694741,2332
json,0.4489480795213279,2326
django,0.9605645496056455,2314
pyfits,1.0,2309
grp,0.8323115759105661,2308
netCDF4,0.836489439184268,2297
seaborn,1.0,2294
parser,1.0,2287
os,0.5699274455841882,2278
os,0.463464278444942,2277
java,0.6002112490097703,2273
os,0.46205493387589014,2271
posixpath,0.3755790866975513,2270
django,0.6763212899372947,2265
os,0.4065815500809207,2261
readline,0.6780780780780781,2258
SocketServer,0.492896174863388,2255
marshal,1.0,2255
docker,1.0,2251
pexpect,1.0,2251
shelve,1.0,2250
nailgun,1.0,2247
datetime,0.3537564970861553,2246
client,1.0,2239
quantum,1.0,2238
flexget,1.0,2236
dolfin,1.0,2234
ironic,1.0,2234
md5,0.3944905527105774,2234
new,1.0,2229
student,0.3507638998267444,2227
sys,0.5235404896421846,2224
auth,1.0,2219
md5,0.39095885573017836,2214
dns,1.0,2209
htmlentitydefs,1.0,2209
time,0.4152717697949972,2208
psutil,0.4475978106628826,2208
migrate,0.6916327170166092,2207
os,0.6659625829812915,2207
accounts,1.0,2204
oslo_db,1.0,2203
opus_core,1.0,2201
hamcrest,1.0,2195
java,0.3592598657278533,2194
dimagi,1.0,2190
rospy,0.8614173228346457,2188
os,0.5534128393808678,2181
oslo_config,0.6762880198634389,2179
waflib,1.0,2179
pycurl,1.0,2177
sublime,0.8929450369155045,2177
ganeti,1.0,2177
pyvisdk,1.0,2177
Gaffer,1.0,2175
os,0.6528528528528529,2174
_winreg,1.0,2167
nssrc,1.0,2167
sphinx,0.4942844078646548,2162
lp,1.0,2161
lettuce,1.0,2159
courseware,0.5276148582600195,2159
oslo_log,0.3551525144270404,2154
tokenize,1.0,2152
trove,1.0,2151
resources,0.5677317137575918,2150
pylib,1.0,2148
logging,0.48826611984506724,2143
bz2,0.6956663408276311,2135
elementtree,1.0,2130
taiga,1.0,2129
game,1.0,2126
project,1.0,2124
msrest,1.0,2118
fileinput,0.5196463654223968,2116
py2exe,1.0,2115
os,0.6368024132730015,2111
ldap,1.0,2104
os,0.5889794770874333,2095
exceptions,0.37244444444444447,2095
os,0.3889301634472511,2094
__future__,0.9347048300536672,2090
aiohttp,1.0,2088
JumpScale,1.0,2087
win32con,1.0,2085
Plugins,0.6776187378009109,2083
pyqtgraph,1.0,2081
dj_database_url,0.8644490644490644,2079
nova,0.34262159934047814,2078
pywikibot,1.0,2073
Tools,0.3406810330646488,2071
swift,0.5882352941176471,2070
xbmcplugin,1.0,2069
Products,0.4229354047424366,2069
couchpotato,1.0,2067
docopt,0.5215745647236941,2067
os,0.696693657219973,2065
nibabel,0.8816239316239316,2063
colorama,1.0,2059
pstats,1.0,2057
TestSCons,1.0,2055
django,0.8514522821576763,2052
cookielib,0.5316390041493776,2050
runner,1.0,2043
pyspark,1.0,2041
com,0.5441451053614297,2040
jsonrpc,1.0,2038
filecmp,1.0,2038
ordereddict,1.0,2037
flask_wtf,1.0,2037
os,0.49779843444227007,2035
tower,1.0,2033
maya,1.0,2032
docutils,0.3358753315649867,2026
cProfile,0.5636313004734057,2024
pyglet,0.3635057471264368,2024
traits,0.8392857142857143,2021
peewee,1.0,2018
ddt,0.5061449711562578,2018
application,1.0,2015
geometry_msgs,1.0,2011
plone,1.0,2011
msvcrt,1.0,2011
sys,0.8160779537149817,2010
Crypto,0.33212101173747727,2009
urllib,0.4722222222222222,2006
scripts,1.0,2004
docutils,0.4577046181984454,2002
shoop,1.0,2001
sickrage,1.0,2001
social,1.0,1997
sys,0.6021116138763197,1996
os,0.5094484167517875,1995
luigi,1.0,1993
